epoch,acc,loss,val_acc,val_loss
0,0.9142630937587297,0.24153985493681493,0.8813405775505564,0.3828662394181542
1,0.9463861571112284,0.14488469434868573,0.9184782673483309,0.22183820346127386
2,0.9573012109242903,0.11975962843355341,0.9067028955273007,0.2611026090124379
3,0.962504244190497,0.0992047682892459,0.9008152173913043,0.4427714914731357
4,0.9706481158389534,0.08028340789173108,0.9429347864959551,0.17349610947396443
5,0.9746069446999945,0.0722663412916638,0.9250452881274016,0.21375106226490892
6,0.9802624104910476,0.055017190709492694,0.9356884036375128,0.21492897646258707
7,0.9823549353635469,0.05113106193403329,0.9298007190227509,0.29242075752952823
8,0.9845040110680949,0.042516825309204656,0.9461050759191099,0.1753656877528714
9,0.9882931765921042,0.034334486005318986,0.940896740426188,0.24002067032067673
10,0.9899898134412141,0.02881462214382515,0.9519927566466124,0.18052190704190213
11,0.99228603163281,0.023539950044407208,0.938858696947927,0.24482691976363244
12,0.9923880882789752,0.02071866600258176,0.9397644905940347,0.2582804621197283
13,0.9953828801979889,0.014333622488256141,0.948596020107684,0.2317376609324761
14,0.994319468513182,0.01786534400290512,0.951766303052073,0.23260352333359743
15,0.9958149496886866,0.011631918674942282,0.9472373179767443,0.26119756820085255
16,0.9965501600174246,0.010317568816791323,0.95335144970728,0.252059401134434
17,0.9967763788788288,0.008492056431987015,0.9504076112871584,0.27787342262656795
18,0.9973419265177519,0.00825569683332426,0.944067032440849,0.2630343540855076
19,0.9983599109086579,0.005378623922512063,0.9508605094059653,0.2725854987359565
20,0.9983033570832304,0.005222898210553863,0.9472373205682506,0.29793545838607394
